,com_1,com_2,icd10,cluster
358,7.885022,-6.6525183,B250,239
359,-1.9431108,8.117919,B251,510
360,-6.562207,9.520517,B252,277
361,-4.6138215,0.9766721,B258,497
362,4.9489255,-0.73916066,B259,530
363,-0.8869597,6.3586254,B260,-1
364,-4.044379,3.057837,B262,496
365,-0.14427839,7.2917624,B268,637
366,-1.6544032,-4.250088,B269,536
367,2.1534944,9.809219,B27,430
368,0.31114638,8.026487,B270,629
369,3.6835923,-8.616901,B278,162
370,5.243044,-5.1825604,B279,-1
371,-5.901748,6.1154165,B30,455
372,2.8216934,2.6499393,B300,-1
373,4.3944583,3.4085746,B301,555
374,-0.110314526,3.6369638,B302,-1
375,2.2705657,13.096221,B303,313
376,1.4944146,-0.87690604,B308,702
377,3.3242218,6.8621697,B309,471
378,-4.56598,-5.9095497,B330,-1
379,7.8539667,-3.425171,B334,173
380,13.914008,8.788325,B338,56
381,-2.626322,-11.885359,B34,39
382,-2.1535761,14.644626,B341,89
383,2.422306,-1.32274,B342,521
384,7.6984973,1.3741461,B343,304
385,-11.941585,1.0270317,B344,163
386,-3.310811,5.456227,B348,-1
387,-3.072772,9.546828,B349,376
388,7.7353926,13.047033,B35,148
389,0.58066523,2.2133863,B350,712
390,-4.4681063,3.5334544,B351,-1
391,-2.5648992,2.0915906,B352,-1
392,1.4594901,2.805568,B353,-1
393,2.8247411,6.987238,B354,-1
394,-2.7176452,5.218182,B355,577
395,-2.0477462,2.5299232,B356,-1
396,7.860601,-5.691619,B357,191
397,6.231424,-2.228626,B358,314
398,3.817171,4.683902,B359,613
399,1.3113846,1.4366734,B360,719
400,-14.735463,2.2650895,B361,62
401,-6.5279403,2.1689656,B368,444
402,-0.58448106,-0.9945702,B369,-1
403,6.7259636,16.328587,B37,-1
404,-10.009891,4.322406,B370,-1
405,1.3553058,-0.908676,B3705,702
406,-5.5494933,13.068666,B3709,174
407,-7.976458,7.0477877,B372,349
408,5.571759,3.691071,B373,467
409,2.4488406,10.772903,B374,-1
410,-2.2486343,2.9025273,B376,561
411,2.1805995,0.9084319,B377,716
412,-1.7296609,6.7579985,B378,553
413,-0.18704613,3.2167828,B379,-1
414,12.510682,6.650247,B389,107
415,-8.93605,-4.1364985,B391,-1
416,0.5379353,-0.6688371,B392,675
417,-0.3787104,-0.4322205,B393,655
418,-4.3197136,7.177128,B394,400
419,-1.6093748,0.03419951,B399,-1
420,10.790322,7.4848843,B400,180
421,0.904309,-5.3987246,B401,-1
422,6.2503486,6.908592,B421,-1
423,0.104558356,-6.727357,B430,316
424,7.4512873,4.8296,B431,441
425,2.4968374,7.2353687,B432,511
426,2.067346,1.688399,B439,686
427,4.3115296,4.469425,B440,550
428,0.7264968,2.6234338,B441,712
429,-10.778249,9.978222,B442,124
430,-2.9031513,-3.5327666,B447,533
431,4.4274035,3.3772135,B448,555
432,3.0004191,6.8883305,B449,471
433,3.1415994,-0.106724985,B450,523
434,-5.3017974,2.5185473,B451,496
435,0.48795122,10.245398,B457,370
436,0.50216246,-1.9704049,B458,625
437,-6.175775,2.4501083,B459,-1
438,4.229701,10.152096,B46,-1
439,11.738626,-3.2940526,B460,-1
440,-4.843303,-7.0047574,B461,201
