,com_1,com_2,icd10,cluster
337,1.5972376,6.677757,B250,-1
338,1.7666323,0.7041306,B251,-1
339,-1.9831886,4.7260017,B258,463
340,4.7972193,2.8491337,B259,488
341,4.178666,-1.3145922,B260,304
342,-0.38231328,-7.2710066,B268,-1
343,1.142242,1.151917,B269,583
344,1.3390933,7.708398,B270,-1
345,5.270846,-2.655449,B271,353
346,4.063451,9.223513,B278,-1
347,-9.156378,5.073716,B279,144
348,8.382091,4.010256,B300,395
349,-11.225827,3.9080794,B302,62
350,-6.171189,-3.8976188,B303,83
351,2.8224719,0.52714604,B309,-1
352,9.808375,11.508684,B330,-1
353,-4.3616834,-2.109491,B332,212
354,12.303147,-6.0531244,B333,-1
355,5.010441,-1.7670834,B334,-1
356,7.8603845,0.7476173,B338,375
357,6.209034,10.099506,B340,-1
358,5.273787,9.13987,B341,294
359,-9.902938,1.9198861,B342,120
360,3.9938498,-0.48161867,B343,475
361,1.8173103,6.602241,B348,610
362,8.966988,-2.5812364,B349,-1
363,5.7313247,1.8664409,B350,-1
364,2.4371092,7.244228,B351,-1
365,2.9359896,6.4859953,B352,623
366,3.5154355,6.2164702,B353,-1
367,-0.22584341,3.7737827,B354,573
368,3.404179,4.9481773,B356,-1
369,-2.4973307,11.893895,B357,-1
370,3.355365,9.651262,B358,279
371,3.5292184,7.900611,B359,-1
372,3.1188543,0.12986651,B360,-1
373,5.435512,15.083996,B361,69
374,2.839943,1.5763113,B362,587
375,3.384981,2.8361282,B368,579
376,4.90327,5.398628,B369,-1
377,-1.697398,3.9396243,B370,-1
378,4.646427,-5.716469,B3700,155
379,3.49008,4.958209,B3704,-1
380,6.663169,6.379591,B3705,419
381,4.7786913,7.6121407,B3709,-1
382,2.664969,6.80483,B371,622
383,-2.1181066,-1.1537266,B372,-1
384,-1.5871439,8.105828,B373,-1
385,-3.6860979,3.315141,B374,-1
386,3.388322,-4.0850906,B375,247
387,3.121081,-0.26361796,B376,-1
388,-0.98725545,-0.029167274,B377,417
389,-2.8904588,3.6364636,B378,506
390,-0.34045258,1.1460015,B379,-1
391,-4.0484986,8.258632,B388,259
392,8.071835,-11.079177,B390,7
393,5.3776207,-4.3867974,B391,291
394,7.383227,1.1199943,B392,368
395,3.5682707,1.8617355,B393,538
396,7.8538637,10.223573,B394,-1
397,2.4165034,3.6208723,B399,612
398,7.6831837,0.3247746,B408,375
399,6.2201777,-3.6494746,B430,327
400,4.779381,2.8638167,B431,488
401,-0.21023631,2.55418,B432,562
402,10.7417345,10.194803,B438,-1
403,-5.34002,15.577969,B439,6
404,3.9175034,8.914555,B44,-1
405,-3.3083282,1.9036064,B440,519
406,-1.6657442,4.2735496,B441,521
407,3.2016425,3.6131926,B447,600
408,3.179215,4.7872863,B448,627
409,3.2165349,5.569228,B449,-1
410,6.2964387,5.2524204,B450,439
411,-3.0089097,0.1797387,B451,-1
412,10.595235,0.92859745,B452,170
413,6.0134206,1.5704675,B453,461
414,2.6038928,2.8584805,B457,-1
415,2.7292423,1.6978539,B458,588
416,-1.9228902,-3.1141775,B459,271
417,0.37072638,-1.6317121,B460,-1
418,2.2087686,5.3372436,B461,-1
419,6.969177,6.1077423,B462,-1
420,9.256775,2.6918163,B463,307
421,4.388005,6.923741,B464,426
422,4.1536994,7.175877,B465,-1
423,5.6745315,5.1891108,B468,435
424,3.0183396,-0.97036487,B469,481
425,-7.743947,3.0771956,B470,149
426,3.6815922,7.186092,B471,450
427,9.548285,4.234064,B479,-1
428,9.03304,-4.1125693,B480,197
429,-3.644657,2.9358819,B484,518
430,4.402312,4.8736806,B487,549
431,-0.043966137,5.966842,B488,-1
432,14.335148,1.991835,B49,104
433,0.36141717,7.277942,B500,561
434,11.335749,8.679796,B508,-1
435,-1.4313623,3.7285242,B509,-1
436,11.213475,7.7817965,B518,273
437,7.7050633,1.4288961,B519,-1
438,5.8852234,14.086363,B528,-1
439,-0.80502194,6.300141,B54,513
440,-0.8477981,6.146715,B550,513
441,-1.5951297,0.51482284,B551,501
